in Hz,Spectrum in dBA
8.106637E+01,-2.9441E+01
8.125711E+01,-2.8841E+01
8.144786E+01,-3.0101E+01
8.163860E+01,-3.2981E+01
8.182935E+01,-3.5021E+01
8.202009E+01,-3.3161E+01
8.221084E+01,-2.9881E+01
8.240158E+01,-2.7801E+01
8.259233E+01,-2.7361E+01
8.278307E+01,-2.8401E+01
8.297381E+01,-3.0441E+01
8.316456E+01,-3.1761E+01
8.335530E+01,-3.1321E+01
8.354605E+01,-3.1721E+01
8.373679E+01,-3.4701E+01
8.392754E+01,-3.8781E+01
8.411828E+01,-3.7581E+01
8.430903E+01,-3.5921E+01
8.449977E+01,-3.4941E+01
8.469051E+01,-3.4101E+01
8.488126E+01,-3.5161E+01
8.507200E+01,-3.4921E+01
8.526275E+01,-2.9121E+01
8.545349E+01,-2.5721E+01
8.564424E+01,-2.4461E+01
8.583498E+01,-2.4701E+01
8.602572E+01,-2.6181E+01
8.621647E+01,-2.8341E+01
8.640721E+01,-2.9201E+01
8.659796E+01,-2.8281E+01
8.678870E+01,-2.7781E+01
8.697945E+01,-2.7721E+01
8.717019E+01,-2.7541E+01
8.736094E+01,-2.8221E+01
8.755168E+01,-3.0721E+01
8.774242E+01,-3.5581E+01
8.793317E+01,-3.8441E+01
8.812391E+01,-3.5121E+01
8.831466E+01,-3.3621E+01
8.850540E+01,-3.4201E+01
8.869615E+01,-3.6721E+01
8.888689E+01,-3.9501E+01
8.907764E+01,-3.4841E+01
8.926838E+01,-3.2081E+01
8.945912E+01,-3.3581E+01
8.964987E+01,-4.0361E+01
8.984061E+01,-3.8281E+01
9.003136E+01,-3.6381E+01
9.022210E+01,-4.2841E+01
9.041285E+01,-4.4701E+01
9.060359E+01,-3.5281E+01
9.079433E+01,-3.1141E+01
9.098508E+01,-2.8941E+01
9.117582E+01,-2.8461E+01
9.136657E+01,-2.9681E+01
9.155731E+01,-3.1561E+01
9.174806E+01,-3.1961E+01
9.193880E+01,-3.1621E+01
9.212955E+01,-3.1221E+01
9.232029E+01,-3.0161E+01
9.251103E+01,-2.9361E+01
9.270178E+01,-2.9821E+01
9.289252E+01,-3.1481E+01
9.308327E+01,-3.3481E+01
9.327401E+01,-3.5301E+01
9.346476E+01,-3.8481E+01
9.365550E+01,-4.7701E+01
9.384625E+01,-5.0101E+01
9.403699E+01,-4.3081E+01
9.422773E+01,-3.8301E+01
9.441848E+01,-3.3241E+01
9.460922E+01,-2.9761E+01
9.479997E+01,-2.8661E+01
9.499071E+01,-2.9461E+01
9.518146E+01,-2.9161E+01
9.537220E+01,-2.7201E+01
9.556294E+01,-2.5921E+01
9.575369E+01,-2.5341E+01
9.594443E+01,-2.5321E+01
9.613518E+01,-2.6241E+01
9.632592E+01,-2.8341E+01
9.651667E+01,-3.0881E+01
9.670741E+01,-3.1301E+01
9.689816E+01,-2.9701E+01
9.708890E+01,-2.8321E+01
9.727964E+01,-2.8141E+01
9.747039E+01,-2.9501E+01
9.766113E+01,-3.3261E+01
9.785188E+01,-4.2561E+01
9.804262E+01,-4.5481E+01
9.823337E+01,-3.6841E+01
9.842411E+01,-3.2741E+01
9.861486E+01,-3.0461E+01
9.880560E+01,-3.1001E+01
9.899634E+01,-3.6541E+01
9.918709E+01,-3.7461E+01
9.937783E+01,-2.8841E+01
9.956858E+01,-2.5101E+01
9.975932E+01,-2.3481E+01
9.995007E+01,-2.3141E+01
1.001408E+02,-2.3841E+01
1.003316E+02,-2.5821E+01
1.005223E+02,-2.9481E+01
1.007130E+02,-3.3401E+01
1.009038E+02,-3.2741E+01
1.010945E+02,-3.0341E+01
1.012853E+02,-2.9921E+01
1.014760E+02,-3.1381E+01
1.016668E+02,-3.2461E+01
1.018575E+02,-3.2041E+01
1.020483E+02,-3.2121E+01
1.022390E+02,-3.3261E+01
1.024297E+02,-3.4481E+01
1.026205E+02,-3.5561E+01
1.028112E+02,-3.6821E+01
1.030020E+02,-3.7261E+01
1.031927E+02,-3.6801E+01
1.033835E+02,-3.8001E+01
1.035742E+02,-4.2461E+01
1.037650E+02,-4.2861E+01
1.039557E+02,-4.0921E+01
1.041464E+02,-3.9781E+01
1.043372E+02,-3.6041E+01
1.045279E+02,-3.1601E+01
1.047187E+02,-2.9041E+01
1.049094E+02,-2.8121E+01
1.051002E+02,-2.7481E+01
1.052909E+02,-2.6541E+01
1.054817E+02,-2.5981E+01
1.056724E+02,-2.6081E+01
1.058631E+02,-2.6461E+01
1.060539E+02,-2.6881E+01
1.062446E+02,-2.7801E+01
1.064354E+02,-2.9121E+01
1.066261E+02,-2.9961E+01
1.068169E+02,-3.0001E+01
1.070076E+02,-3.0781E+01
1.071984E+02,-3.2561E+01
1.073891E+02,-3.1921E+01
1.075798E+02,-3.0121E+01
1.077706E+02,-3.0061E+01
1.079613E+02,-3.2321E+01
1.081521E+02,-3.6981E+01
1.083428E+02,-3.3641E+01
1.085336E+02,-2.8541E+01
1.087243E+02,-2.6761E+01
1.089151E+02,-2.7681E+01
1.091058E+02,-3.0781E+01
1.092965E+02,-3.4641E+01
1.094873E+02,-3.4421E+01
1.096780E+02,-2.9821E+01
1.098688E+02,-2.6261E+01
1.100595E+02,-2.4521E+01
1.102503E+02,-2.4621E+01
1.104410E+02,-2.6661E+01
1.106318E+02,-3.0681E+01
1.108225E+02,-3.5001E+01
1.110132E+02,-3.7161E+01
1.112040E+02,-3.9721E+01
1.113947E+02,-3.8181E+01
1.115855E+02,-3.4661E+01
1.117762E+02,-3.4161E+01
1.119670E+02,-3.5661E+01
1.121577E+02,-3.6181E+01
1.123485E+02,-3.6641E+01
1.125392E+02,-4.0581E+01
1.127299E+02,-4.2721E+01
1.129207E+02,-3.8141E+01
1.131114E+02,-3.8061E+01
1.133022E+02,-4.0841E+01
1.134929E+02,-4.4601E+01
1.136837E+02,-4.6261E+01
1.138744E+02,-4.2061E+01
1.140652E+02,-3.7921E+01
1.142559E+02,-3.3861E+01
1.144466E+02,-3.0301E+01
1.146374E+02,-2.8501E+01
1.148281E+02,-2.8041E+01
1.150189E+02,-2.7521E+01
1.152096E+02,-2.6861E+01
1.154004E+02,-2.6681E+01
1.155911E+02,-2.7181E+01
1.157819E+02,-2.8481E+01
1.159726E+02,-3.0261E+01
1.161633E+02,-3.1181E+01
1.163541E+02,-2.9921E+01
1.165448E+02,-2.7761E+01
1.167356E+02,-2.6481E+01
1.169263E+02,-2.7101E+01
1.171171E+02,-3.0861E+01
1.173078E+02,-4.1701E+01
1.174986E+02,-3.4061E+01
1.176893E+02,-2.9481E+01
1.178800E+02,-2.8561E+01
1.180708E+02,-2.9621E+01
1.182615E+02,-3.2841E+01
1.184523E+02,-3.6881E+01
1.186430E+02,-3.1861E+01
1.188338E+02,-2.7981E+01
1.190245E+02,-2.6061E+01
1.192153E+02,-2.5001E+01
1.194060E+02,-2.4421E+01
1.195967E+02,-2.4781E+01
1.197875E+02,-2.6321E+01
1.199782E+02,-2.7941E+01
1.201690E+02,-2.8801E+01
1.203597E+02,-2.9801E+01
1.205505E+02,-3.1321E+01
1.207412E+02,-3.2421E+01
1.209319E+02,-3.2901E+01
1.211227E+02,-3.4621E+01
1.213134E+02,-3.7901E+01
1.215042E+02,-3.8501E+01
1.216949E+02,-3.8281E+01
1.218857E+02,-4.0961E+01
1.220764E+02,-4.4121E+01
1.222672E+02,-4.4221E+01
1.224579E+02,-5.1541E+01
1.226486E+02,-4.5301E+01
1.228394E+02,-3.7921E+01
1.230301E+02,-3.5981E+01
1.232209E+02,-3.5301E+01
1.234116E+02,-3.4481E+01
1.236024E+02,-3.4661E+01
1.237931E+02,-3.6121E+01
1.239839E+02,-3.7021E+01
1.241746E+02,-3.5441E+01
1.243653E+02,-3.2141E+01
1.245561E+02,-2.9861E+01
1.247468E+02,-2.9521E+01
1.249376E+02,-2.9841E+01
1.251283E+02,-2.9001E+01
1.253191E+02,-2.7721E+01
1.255098E+02,-2.6961E+01
1.257006E+02,-2.7001E+01
1.258913E+02,-2.8101E+01
1.260820E+02,-3.0761E+01
1.262728E+02,-3.5441E+01
1.264635E+02,-3.5661E+01
1.266543E+02,-3.0221E+01
1.268450E+02,-2.7541E+01
1.270358E+02,-2.7701E+01
1.272265E+02,-3.1141E+01
1.274173E+02,-3.9741E+01
1.276080E+02,-3.3301E+01
1.277987E+02,-2.8801E+01
1.279895E+02,-2.7401E+01
1.281802E+02,-2.7541E+01
1.283710E+02,-2.8741E+01
1.285617E+02,-3.0421E+01
1.287525E+02,-3.1481E+01
1.289432E+02,-3.0181E+01
1.291340E+02,-2.7221E+01
1.293247E+02,-2.4541E+01
1.295154E+02,-2.3081E+01
1.297062E+02,-2.3321E+01
1.298969E+02,-2.5121E+01
1.300877E+02,-2.7881E+01
1.302784E+02,-3.1381E+01
1.304692E+02,-3.4941E+01
1.306599E+02,-3.5241E+01
1.308507E+02,-3.4201E+01
1.310414E+02,-3.4901E+01
1.312321E+02,-3.7901E+01
1.314229E+02,-4.1001E+01
1.316136E+02,-4.2381E+01
1.318044E+02,-4.0641E+01
1.319951E+02,-3.5281E+01
1.321859E+02,-3.2361E+01
1.323766E+02,-3.2321E+01
1.325674E+02,-3.4281E+01
1.327581E+02,-3.5021E+01
1.329488E+02,-3.4101E+01
1.331396E+02,-3.4141E+01
1.333303E+02,-3.4641E+01
1.335211E+02,-3.4961E+01
1.337118E+02,-3.5521E+01
1.339026E+02,-3.6201E+01
1.340933E+02,-3.5041E+01
1.342841E+02,-3.1781E+01
1.344748E+02,-2.9521E+01
1.346655E+02,-2.9501E+01
1.348563E+02,-3.1501E+01
1.350470E+02,-3.4021E+01
1.352378E+02,-3.4761E+01
1.354285E+02,-3.3141E+01
1.356193E+02,-3.0441E+01
1.358100E+02,-2.8481E+01
1.360008E+02,-2.8261E+01
1.361915E+02,-2.9921E+01
1.363822E+02,-3.3361E+01
1.365730E+02,-3.6681E+01
1.367637E+02,-3.4601E+01
1.369545E+02,-3.2521E+01
1.371452E+02,-3.2281E+01
1.373360E+02,-3.3681E+01
1.375267E+02,-3.5461E+01
1.377175E+02,-3.5001E+01
1.379082E+02,-3.2761E+01
1.380989E+02,-3.0161E+01
1.382897E+02,-2.7881E+01
1.384804E+02,-2.6301E+01
1.386712E+02,-2.5781E+01
1.388619E+02,-2.6361E+01
1.390527E+02,-2.7301E+01
1.392434E+02,-2.7661E+01
1.394342E+02,-2.7741E+01
1.396249E+02,-2.8141E+01
1.398156E+02,-2.8741E+01
1.400064E+02,-3.0001E+01
1.401971E+02,-3.3201E+01
1.403879E+02,-3.9621E+01
1.405786E+02,-4.2981E+01
1.407694E+02,-3.6221E+01
1.409601E+02,-3.3881E+01
1.411509E+02,-3.4981E+01
1.413416E+02,-3.8921E+01
1.415323E+02,-4.2401E+01
1.417231E+02,-3.8461E+01
1.419138E+02,-3.3641E+01
1.421046E+02,-3.0781E+01
1.422953E+02,-2.9981E+01
1.424861E+02,-3.0441E+01
1.426768E+02,-3.0901E+01
1.428676E+02,-3.1001E+01
1.430583E+02,-3.0901E+01
1.432490E+02,-3.0961E+01
1.434398E+02,-3.1981E+01
1.436305E+02,-3.4661E+01
1.438213E+02,-3.8821E+01
1.440120E+02,-4.2121E+01
1.442028E+02,-3.7721E+01
1.443935E+02,-3.2481E+01
1.445843E+02,-3.0621E+01
1.447750E+02,-3.1301E+01
1.449657E+02,-3.2901E+01
1.451565E+02,-3.2901E+01
1.453472E+02,-3.2721E+01
1.455380E+02,-3.5181E+01
1.457287E+02,-3.8321E+01
1.459195E+02,-3.4561E+01
1.461102E+02,-3.1881E+01
1.463010E+02,-3.1121E+01
1.464917E+02,-3.2201E+01
1.466824E+02,-3.5541E+01
1.468732E+02,-4.0701E+01
1.470639E+02,-3.6641E+01
1.472547E+02,-3.2621E+01
1.474454E+02,-3.1361E+01
1.476362E+02,-3.1341E+01
1.478269E+02,-3.1221E+01
1.480177E+02,-3.1501E+01
1.482084E+02,-3.2781E+01
1.483991E+02,-3.1201E+01
1.485899E+02,-2.7461E+01
1.487806E+02,-2.4941E+01
1.489714E+02,-2.3761E+01
1.491621E+02,-2.3881E+01
1.493529E+02,-2.5761E+01
1.495436E+02,-2.9841E+01
1.497344E+02,-3.1861E+01
1.499251E+02,-3.0001E+01
1.501158E+02,-2.9581E+01
1.503066E+02,-3.0281E+01
1.504973E+02,-3.1901E+01
1.506881E+02,-3.5181E+01
1.508788E+02,-3.8181E+01
1.510696E+02,-3.5641E+01
1.512603E+02,-3.2681E+01
1.514511E+02,-3.1041E+01
1.516418E+02,-3.0041E+01
1.518325E+02,-2.9061E+01
1.520233E+02,-2.8201E+01
1.522140E+02,-2.8241E+01
1.524048E+02,-2.9401E+01
1.525955E+02,-3.0921E+01
1.527863E+02,-3.1741E+01
1.529770E+02,-3.1021E+01
1.531678E+02,-2.9341E+01
1.533585E+02,-2.8261E+01
1.535492E+02,-2.8721E+01
1.537400E+02,-3.1101E+01
1.539307E+02,-3.5441E+01
1.541215E+02,-3.9101E+01
1.543122E+02,-3.7321E+01
1.545030E+02,-3.6541E+01
1.546937E+02,-3.8941E+01
1.548845E+02,-3.8501E+01
1.550752E+02,-3.2741E+01
1.552659E+02,-3.0341E+01
1.554567E+02,-3.1301E+01
1.556474E+02,-3.5761E+01
1.558382E+02,-4.4541E+01
1.560289E+02,-6.4041E+01
